Who would you share your lunch with?
Who cries more?
Who is more likely to cry because of love?
Who makes more love confessions to others?
Who always receives love confessions?
Who would take you to the movies?
Who is a better soul mate?
Who has accidentally changed your life in a good way?
Who has accidentally changed your life in a bad way?
Who would make a better parent?
Who would unlock your phone when you are in restroom?
Who would kiss you?
Who will push your wheelchair for you?
Who would you want to build a family with?
Who don't you want him/her to be your child?
Who don't you want him/her to be your mom?
Who would you share your candy with?
Whose desktop photo would be his/her parents?
Who listens more?
Who would get old people to like him?
Who is better at comforting a baby?
Who can be more romantic?
Who will have a longer lasting romantic relationship?
Who will have a longer lasting frienship?
Who will get married first?
Who would do crazy things for his/her loved one?
"Who is more likely to say ""I love you"" first?"
Who is more likely to have dreams about sex?
Who has experienced a bad relationship?
Who has slept with more people?
Who watches more pornographic material?
"Who is more likely to ""put out""?"
Who would you still be in contact with in 5 years?
Who would make a better wingman?
Who would you go to for a big favor?
Who is a reliable friend?
Who would you tell your secrets to?
Who can keep a secret?
Who has had sex in the past week?
Who is more nerdy?
Who cares about grades?
Who wants to be leader?
Who has more profound thoughts?
Who would likely to screw up an interview?
Who has a better memory?
Who is more punctual?
Who has more excuses?
Who changed decision easily?
Who likes to criticise?
Who plans in advance?
Who does jobs in a hurry?
Who is able to control their emotions?
Who is more agreeable?
Who has more conscience?
Who is less likely to give in to temptation?
Who is able to think creatively?
Who is able to think logically?
Who has more organization?
Who is more honest?
Who has a strong work ethic?
Who pays attention to details?
Who is able to speak in public?
Who is more influential?
Who has more ambition?
Who is more determined?
Who is more patient?
Who can handle stress?
Who is a master of persuasion?
Who has self confidence?
Who has an independent mind?
Who can multi-task?
Who has respect for authority?
Who acts impulsively?
Who is able to continuously perform monotonous tasks?
Who is more likely to drive innovation?
Who is proactive?
Who has a stronger competitive spirit?
Who gives up easily?
Who can think on the spot?
Who always forgets others' name?
Who's more likely to push you into a pool during a party?
Who is a princess?
Who is always tired?
Who likes to eat alone?
Who is likely to be a stalker?
Who would have stalkers?
Who would immerse in his/her own world?
Who would yield a seat on bus?
Who wouldn't you want to bump into in an elevator?
Who would cover your ass?
Who is more gossipy?
Who would report someone cheated in an exam?
Who loves to shop at grocery store?
Who always has the same pose when taking pictures?
Who runs fast?
Who is an underground leader?
Who is more gangster?
Who do you always forget?
Who is quiet?
Who likes to be under spotlight?
Who likes to tell others to do things for him/her?
Who is not afraid of power?
Who is more tranquil?
Whose children would you think would go wild?
Who do you always forget to invite?
Who likes to say 'you know'?
Who wears like a weirdo?
Who likes to go to gym?
Who has more standard on a restaurant?
Who gets distracted easily?
Who would pretend that he doesn't know you when he becomes a super star?
Who often has brain farts?
Who is a language master?
Who considers himself as a smarty pants?
Who is an alcoholic?
Who is more laid back?
Who gets you excited easily?
Who thinks about humankind and its destiny?
Who likes to take selfies?
Who always loses on bets?
Who would you take out as your date for college reunion?
Who would you take out as your date for college reunion?
Who would you bring back to meet your parents?
Who's more likely to get people to buy drink for him/her?
Who's more likely to end up in a social awkward situation?
Who can talk their way out to a highend club wihout invitation?
Who's more likely to get a better deal when buying car?
Who make you feel more comfortable at a new place
Who's more likely to get along with your pet if you have one?
Who can score more strangers' number in a club
Who's a better roadtrip partner?
"Who's opinion would you go for, if you're betting for soccer game?"
Who would not notice if there's ketcup on their shirt or dress?
Who would you invest if he/she is doing a startup?
Who can get alone with alien better?
Who you want to hear bedtime story from?
Who would you send to American Idol if you have to?
Who would get more attention when they're crying?
Who look like they're from different planet?
